"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1648","LTN1",14.0777370550585,9.81641132818504,112.309894731235,2.54095602538571e-44,5.9915743078595e-41,84.042960581215
"3426","STK3",14.0448646591874,9.55879524695085,91.5255608375465,2.17532491346923e-41,2.56470807298022e-38,80.2340713550496
"2086","RPL31",12.6492120065409,6.10990111858836,89.5056100465268,4.54022734700014e-41,3.56861869474211e-38,78.9869896474178
"2323","UBASH3B",14.8327739068989,10.0477991474703,72.7698380406652,4.14944701221344e-38,2.44609901369982e-35,74.510613343976
"1557","ADRA2A",13.1811165589451,7.44242544870607,39.7527916059271,1.61517122811134e-29,7.61714751177309e-27,57.1718333773186
"2923","CDKN2AIPNL",13.0887154342376,9.47010447805592,32.3925551187633,1.20061804041914e-26,4.71842889884722e-24,50.7522977244113
"710","NME1",3.37445410109241,15.868951894159,26.8496670126085,4.79341411894121e-24,1.61469578463763e-21,44.8973474951662
"1947","TM9SF4",-2.79103763949837,15.5193058822152,-26.6856910491311,5.8200583455756e-24,1.71546219735841e-21,44.696261102523
"1107","GSTM1",2.60926390869368,17.0964289432764,24.7518419117527,6.2538707870713e-23,1.63851414621268e-20,42.3413790000728
"2746","GET4",12.246009782208,9.3336819869835,22.305148104107,1.62177458851258e-21,3.82414447971267e-19,39.09505999553
"1250","NMT1",-2.63765267740713,15.0844239708332,-20.6662621409935,1.7201128759691e-20,3.68729651048648e-18,36.7087510312612
"1755","ALPL",14.2773550661026,11.1340680372451,20.4603839001666,2.34060393274166e-20,4.59928672783737e-18,36.4184637275409
"1427","IAH1",-2.34604538261031,15.4776458244471,-18.6352147008381,4.05633293234206e-19,7.35756388804813e-17,33.5314507847407
"2741","NUP62",3.20647459627153,13.9273669641342,17.8059497590494,1.60252828266744e-18,2.69911549323558e-16,32.1757321066588
"2551","HLA-G",12.4967969941879,9.62238560902949,17.7167935246512,1.86339899878618e-18,2.92926322609187e-16,32.0156605699472
"816","CDC42",-1.25744510671263,17.9261162429016,-17.5561495756272,2.44910035762369e-18,3.60936165204791e-16,31.7005574107201
"1459","SLC39A7",3.80083628920663,16.6040907372287,17.340877951795,3.54374225742279e-18,4.91537896647232e-16,31.3289534081606
"800","SRP72",2.33405819954088,15.5352155218297,16.6319157322669,1.22880349878184e-17,1.60973258340422e-15,30.1032171560414
"452","EIF4B",-1.34704297005654,17.2085006578394,-16.5528869501304,1.41517432282137e-17,1.75630581748041e-15,29.9528095615522
"1879","USP7",12.5887274397333,11.2283914339158,15.9148719716271,4.51385678528026e-17,4.83803377258675e-15,28.8085855546963
"386","DDX39B",-1.23617323940668,17.3052364673675,-15.9323941785141,4.37023095085514e-17,4.83803377258675e-15,28.7904678502797
"790","RPS21",-1.09300278971791,17.8118878419663,-15.9323854489279,4.37030132528409e-17,4.83803377258675e-15,28.7883615661273
"838","GNB1",-1.90522306001111,17.4151741725599,-15.881351847607,4.80226759051554e-17,4.92336825149376e-15,28.6815095813501
"78","TUBA1A",2.50709715342557,19.1554826232121,15.6746298918353,7.0519737892498e-17,6.92856424793793e-15,28.3194456847305
"278","S100A6",3.1534657673843,20.2489986679372,15.5376205698119,9.11675683345318e-17,8.59892504531303e-15,28.0318118515128
"2773","RND3",-1.22681880137769,16.8833331699277,-15.48418086133,1.00819952523415e-16,9.1435941557774e-15,27.9451108429101
"1100","STT3B",2.8136343863116,16.6591463406587,15.3648950721084,1.26334794720379e-16,1.10332387389131e-14,27.7539188539349
"2723","SCYL2",2.81994647125016,15.4354553426917,15.0208940035769,2.43975387548628e-16,2.05462129942737e-14,27.0599915380789
"713","POTEI",-3.57341192184557,15.6288200810176,-14.9477714714599,2.81020204915788e-16,2.28498497652216e-14,26.9406704458463
"1584","IDH3B",2.86307303747644,17.2979977475337,14.6008094922987,5.53522493563147e-16,4.35068679940633e-14,26.2066196892131
"356","TMOD3",-1.13462843340118,17.2302040104416,-14.1124710535789,1.46679826479442e-15,1.11571300270492e-13,25.2515985962826
"283","YWHAQ",-1.12089477921374,18.7023650625746,-14.0154012432503,1.7855259095001e-15,1.31570940456289e-13,25.028613567194
"2763","LCLAT1",2.40725930964844,14.2352512492897,13.9648800182641,1.97870213732267e-15,1.37228812935496e-13,24.9858462248372
"1238","SEPTIN6",-0.964500011564101,18.1561587737121,-13.9739632445913,1.94245359561156e-15,1.37228812935496e-13,24.959631405935
"911","PGRMC2",-2.1606523972342,15.4610051897892,-13.7990072522967,2.77765950447776e-15,1.87134888901673e-13,24.5808604648525
"428","RAD23B",1.60688741302456,18.1913809997393,13.7703949562144,2.94588104867747e-15,1.92955208688375e-13,24.551821666317
"1565","DHRS7B",-0.834844354484223,17.6779218923645,-13.7456318591407,3.09989204962288e-15,1.97555282513804e-13,24.4783492863417
"1163","ITIH3",2.73777856746186,16.2610441984854,13.7075364862923,3.35311736418741e-15,2.08069756440893e-13,24.4041611659491
"1342","GPD2",-1.86999332302838,15.48382246921,-13.6670503049079,3.64556631496278e-15,2.20416547966211e-13,24.3449350286969
"341","RPL6",1.15791671235576,18.9856936996058,13.4422591882606,5.81832910280179e-15,3.42990500610166e-13,23.8234163872868
"1117","H4C11",-1.6201376997795,16.135007259723,-13.406546854503,6.27008164705712e-15,3.60606159116114e-13,23.7705330051019
"841","PSME1",2.33678817842894,16.5254071626877,13.3339077624762,7.30321915926544e-15,4.10023589941617e-13,23.5937493269816
"1917","SMARCC2",2.06564669721323,14.818011042906,13.3102471980705,7.6761810478434e-15,4.20940346763134e-13,23.544526075457
"1265","RAB5A",-2.27401972605576,16.1200881034415,-13.2641456892673,8.4599710530378e-15,4.53377539615071e-13,23.4440558514297
"167","CANX",0.829379339438791,19.9170036064363,13.2188117520534,9.31084166289042e-15,4.87888103135458e-13,23.3694406866048
"2696","PSMG1",-2.10603342803132,12.5469162683253,-13.1220965969759,1.14317280278309e-14,5.86000319339679e-13,23.212034900203
"483","RAB1A",-0.829814413783945,17.370940889956,-13.0698748980156,1.27768079152945e-14,6.41015171580092e-13,23.0257260410153
"207","CLIC4",-1.12483060848251,19.4158165481002,-12.8387460096626,2.09816531516482e-14,1.03072371107472e-12,22.5180443942023
"2347","MICOS13",1.21829085535783,19.7092224140452,12.7547286059493,2.51650566794041e-14,1.21100415612316e-12,22.3309093352569
"876","ATP1B3",-1.78061202078081,16.9395297727752,-12.6996891880702,2.83604539642053e-14,1.33077599923555e-12,22.2282229864152
"543","PSMC6",-0.791715338775364,17.3040272321887,-12.6928958978852,2.87826870063669e-14,1.33077599923555e-12,22.2182187178853
"2112","STX16",3.34433110985006,13.0973096063084,12.6133642040604,3.42328327368479e-14,1.46765490169977e-12,22.1443384062234
"2751","SRSF6",3.19208099091765,13.8673609084814,12.6330403702642,3.27930084188847e-14,1.43196136762463e-12,22.1440988467425
"304","YWHAG",-1.34451679004587,18.688591913866,-12.6661489172394,3.05087010504697e-14,1.38345225148091e-12,22.1416497190232
"1911","',MAOB
""1927",11.4675132504468,10.9402375444272,12.6384985970515,3.24046938522561e-14,1.43196136762463e-12,22.1352059817997
"1220","COX5A",1.87107930532147,17.3330543547273,12.4375411676677,5.03576238433204e-14,2.12041566111695e-12,21.6432791438808
"164","G6PD",1.23962844571074,18.8798978126351,12.2084642647603,8.37172835601642e-14,3.46325183569942e-12,21.1167038271388
"741","FIS1",-1.73712857195825,16.9600806944186,-12.1727104024202,9.06801612722891e-14,3.68661759103548e-12,21.0278563260911
"2318","UBA3",0.98670165562096,16.924876872894,12.1517490624079,9.50352669730703e-14,3.79818914444915e-12,21.0250279734144
"189","YWHAB",-0.976299155245543,18.9221442341998,-12.1218988670215,1.01609823376735e-13,3.99326605870569e-12,20.9275607134866
"1850","ALB",1.72047862162957,15.9881681091607,12.0659707908314,1.15210092589926e-13,4.45353112011551e-12,20.8134315882364
"22","ACTB",-1.60025010893968,19.476859179671,-12.0549571588562,1.18100810344092e-13,4.49164049663499e-12,20.8014663607303
"907","AIFM1",-1.45209461164422,15.5131712408441,-11.9705082789565,1.42884470330422e-13,5.34796160379578e-12,20.6307162705782
"3","MYH9",-0.590263157233885,22.2430603942572,-11.9230216986277,1.59099916017734e-13,5.8618375307784e-12,20.6238027734155
"2798","HBB",1.69412328640604,15.5768706818353,11.8775034803708,1.76413058483195e-13,6.39972295235961e-12,20.3787122307944
"331","TXNDC5",-1.0712777178609,19.2212348683269,-11.8183004068076,2.01856036507316e-13,7.21176566794319e-12,20.212522830089
"188","ZYX",-0.992233315943832,19.1906350881163,-11.7762617756866,2.22178074039324e-13,7.81934176992129e-12,20.1484212362987
"1775","RPL38",-4.20928970505843,16.2924204985274,-11.7387697471625,2.42066062597655e-13,8.39399670007751e-12,20.0718787933548
"85","TKT",1.01037493742235,19.4904273926998,11.7155281832836,2.55300763707049e-13,8.7246260988583e-12,19.980998109933
"958","NES",1.59903790289961,15.9342704939007,11.6459428999324,2.99529519830951e-13,1.00898658251626e-11,19.8507185760268
"572","DPP3",-1.70598985222482,16.0997964900101,-11.5457644966696,3.77386744070568e-13,1.23594158683111e-11,19.6103164857272
"1299","DIAPH2",1.87676956869696,17.9586565792735,11.557246902282,3.6750028784302e-13,1.2205150404702e-11,19.603377019122
"2207","CSNK2B",-1.88932864129859,15.7923166158755,-11.4743197120751,4.45327953304847e-13,1.43847029300387e-11,19.416269171018
"2061","ABCF2-H2BE1",9.70970770738836,9.63756171318092,11.2671107983785,7.22347211001806e-13,2.30174962640846e-11,19.0335940480196
